nohup: ignoring input
/home/adm-mcsc/EnviroHealth-Monitor/producers/openaq_producer.py:19: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  current_time = datetime.utcnow().isoformat()
Starting Simulated Air Quality Producer...
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 34.57, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:32:23.332085'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 32.93, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:33:18.470076'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 17.65, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:33:23.470617'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 27.87, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:33:28.471090'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 5.32, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:33:33.471559'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 16.28, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:33:38.472114'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 29.05, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:33:43.472600'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 10.13, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:33:48.473051'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 52.03, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:33:53.473472'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 18.34, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:33:58.473944'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 23.56, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:34:03.474497'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 26.64, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:34:08.475069'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 12.85, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:34:13.477632'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 8.45, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:34:18.478157'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 13.88, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:34:23.478793'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 53.18, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:34:28.479235'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 6.29, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:34:33.479706'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 47.62, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:34:38.480237'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 38.7, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:34:43.480764'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 5.69, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:34:48.481362'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 49.42, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:34:53.481845'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 20.6, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:34:58.483074'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 24.19, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:35:03.483462'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 21.04, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:35:08.484107'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 43.89, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:35:13.484620'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 40.05, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:35:18.485177'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 6.83, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:35:23.485603'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 19.14, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:35:28.486042'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 46.64, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:35:33.486531'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 20.15, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:35:38.487007'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 34.95, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:35:43.487658'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 23.69, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:35:48.488264'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 51.25, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:35:53.489222'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 9.84, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:35:58.489727'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 29.95, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:36:03.490161'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 38.64, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:36:08.490644'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 33.91, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:36:13.491109'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 25.66, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:36:18.491579'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 41.46, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:36:23.492171'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 34.85, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:36:28.492593'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 34.21, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:36:33.493041'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 31.1, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:36:38.493488'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 39.1, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:36:43.494271'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 40.07, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:36:48.498723'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 47.78, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:36:53.499132'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 24.18, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:36:58.499547'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 21.92, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:37:03.500031'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 25.7, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:37:08.501261'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 54.65, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:37:13.501726'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 31.25, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:37:18.502278'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 16.35, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:37:23.502698'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 49.36, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:37:28.503116'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 19.26, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:37:33.509661'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 43.33, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:37:38.510771'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 41.01, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:37:43.511298'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 46.96, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:37:48.511727'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 52.87, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:37:53.512086'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 24.11, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:37:58.512523'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 47.14, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:38:03.513101'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 26.01, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:38:08.517264'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 31.05, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:38:13.651348'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 18.76, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:38:18.890898'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 36.18, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:38:24.091342'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 21.65, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:38:29.601503'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 38.56, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:38:37.792089'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 39.63, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:38:53.653004'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 31.88, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:39:08.705169'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 31.33, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:39:13.997409'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 28.71, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:39:20.104126'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 31.2, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:39:27.196754'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 44.55, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:39:35.377919'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 5.76, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:39:42.557055'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 14.13, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:39:58.792743'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 39.15, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:40:17.592713'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 41.66, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:40:30.493087'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 34.66, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:40:38.193119'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 40.44, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:41:02.895415'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 32.4, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:41:14.096468'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 22.81, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:41:31.154959'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 7.05, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:41:57.747444'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 10.92, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:42:25.397300'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 28.96, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:42:50.146573'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 34.05, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:43:27.645019'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 44.51, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:43:43.096146'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 8.14, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:43:53.698887'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 9.64, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:44:11.948151'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 15.63, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:48:44.399039'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 35.17, 'unit': 'µg/m³', 'timestamp': '2025-12-31T14:59:58.957006'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 17.06, 'unit': 'µg/m³', 'timestamp': '2025-12-31T15:01:12.861867'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 31.99, 'unit': 'µg/m³', 'timestamp': '2025-12-31T15:14:31.178495'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 26.79, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:50:26.951383'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 30.57, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:50:31.951906'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 8.8, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:50:36.952344'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 25.63, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:50:41.957891'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 43.7, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:50:46.958443'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 17.09, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:50:51.959236'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 7.57, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:50:56.959762'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 46.67, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:51:01.960317'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 5.06, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:51:06.960834'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 11.26, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:51:11.961506'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 6.99, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:51:16.962279'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 30.91, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:51:21.962994'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 22.96, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:51:26.963695'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 35.81, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:51:31.964331'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 18.86, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:51:36.964829'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 23.11, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:51:41.965271'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 31.56, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:51:46.965758'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 8.27, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:51:51.966214'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 7.9, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:51:56.966824'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 51.17, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:52:01.967350'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 40.74, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:52:06.967900'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 39.01, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:52:11.968490'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 28.11, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:52:16.968946'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 25.95, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:52:21.969431'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 29.76, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:52:26.970052'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 12.31, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:52:31.970743'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 53.38, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:52:36.971291'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 24.17, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:52:41.971919'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 20.41, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:52:46.972511'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 29.81, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:52:51.973069'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 54.63, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:52:56.973713'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 42.22, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:53:01.974235'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 18.06, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:53:06.974835'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 10.98, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:53:11.975360'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 43.12, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:53:16.976055'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 8.65, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:53:21.976931'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 19.64, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:53:26.977511'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 48.87, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:53:31.978092'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 42.25, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:53:36.978519'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 22.41, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:53:41.979107'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 20.34, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:53:46.979652'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 44.12, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:53:51.980113'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 46.0, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:53:56.980660'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 7.16, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:54:01.981225'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 53.4, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:54:06.981991'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 31.21, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:54:11.982444'}
✅ Sent Simulated Data: {'city': 'Paris', 'country': 'FR', 'parameter': 'pm25', 'value': 37.87, 'unit': 'µg/m³', 'timestamp': '2025-12-31T16:54:16.982956'}
